epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17628,0.87243,0.56035,0.95895,0.7894,0.78019,0.82423,0.63059,0.86088,0.48497,0.93354,0.0095941,0.0095941,0.0095941
43,18047.5,0.87256,0.559,0.9606,0.78604,0.78291,0.82467,0.63125,0.86079,0.48485,0.93356,0.0095842,0.0095842,0.0095842
44,421.915,0.85182,0.56491,0.96036,0.78678,0.78272,0.82543,0.63164,0.86055,0.48377,0.93361,0.0095743,0.0095743,0.0095743
45,825.278,0.85112,0.56134,0.95853,0.78459,0.78746,0.82565,0.6325,0.86032,0.48287,0.93351,0.0095644,0.0095644,0.0095644
46,1228.76,0.84759,0.55813,0.95508,0.78608,0.78685,0.82623,0.63327,0.86005,0.48192,0.93338,0.0095545,0.0095545,0.0095545
47,1631.65,0.84153,0.55307,0.95245,0.78464,0.79011,0.82719,0.63424,0.85993,0.48126,0.93335,0.0095446,0.0095446,0.0095446
48,2035.15,0.83822,0.54828,0.95076,0.78485,0.79036,0.82752,0.63473,0.85977,0.48071,0.93324,0.0095347,0.0095347,0.0095347
49,2439.34,0.83819,0.5434,0.9525,0.7857,0.7911,0.82841,0.63525,0.85965,0.48029,0.93325,0.0095248,0.0095248,0.0095248
50,2842.75,0.83656,0.54265,0.95279,0.78672,0.79074,0.82875,0.63575,0.85973,0.47973,0.93333,0.0095149,0.0095149,0.0095149
51,3246.5,0.83448,0.54022,0.94979,0.78942,0.78976,0.82894,0.63575,0.8598,0.47925,0.93338,0.009505,0.009505,0.009505
52,3650.69,0.83023,0.53695,0.94764,0.79295,0.78735,0.82907,0.63615,0.85973,0.47902,0.93335,0.0094951,0.0094951,0.0094951
53,4054.48,0.82837,0.53346,0.94594,0.79124,0.79004,0.82968,0.63671,0.8598,0.47877,0.93331,0.0094852,0.0094852,0.0094852
54,4458.47,0.82738,0.53176,0.94436,0.79045,0.793,0.82993,0.63713,0.85978,0.47865,0.9332,0.0094753,0.0094753,0.0094753
55,4862.51,0.82624,0.53176,0.94602,0.79025,0.7927,0.83036,0.63797,0.85985,0.47861,0.93324,0.0094654,0.0094654,0.0094654
56,5266.05,0.82408,0.53054,0.94496,0.79078,0.79316,0.83045,0.63813,0.85975,0.47843,0.93322,0.0094555,0.0094555,0.0094555
57,5670.32,0.82369,0.52745,0.94424,0.79131,0.79214,0.83044,0.63833,0.85987,0.4782,0.93322,0.0094456,0.0094456,0.0094456
58,6074.18,0.82332,0.52746,0.94482,0.79116,0.79303,0.83076,0.63837,0.85981,0.4782,0.93321,0.0094357,0.0094357,0.0094357
59,6478.04,0.82122,0.52404,0.94483,0.78735,0.79953,0.83125,0.63859,0.8598,0.47812,0.93325,0.0094258,0.0094258,0.0094258
60,6881.33,0.81815,0.5241,0.94201,0.78852,0.79951,0.83148,0.63857,0.85999,0.47804,0.93329,0.0094159,0.0094159,0.0094159
61,7285.02,0.81855,0.52184,0.94194,0.7901,0.79968,0.83147,0.63853,0.86008,0.478,0.93325,0.009406,0.009406,0.009406
62,7688.55,0.8174,0.52269,0.94292,0.79058,0.79833,0.8316,0.639,0.86015,0.47814,0.93321,0.0093961,0.0093961,0.0093961
63,385.43,0.81803,0.51624,0.94327,0.79608,0.79387,0.8317,0.63932,0.86001,0.47788,0.9331,0.0093862,0.0093862,0.0093862
64,769.3,0.82651,0.52738,0.9452,0.79806,0.79266,0.8314,0.63942,0.85991,0.47774,0.93306,0.0093763,0.0093763,0.0093763
65,1153.5,0.82605,0.53025,0.94425,0.79763,0.79183,0.8313,0.63959,0.85982,0.47775,0.93296,0.0093664,0.0093664,0.0093664
66,1537.14,0.82312,0.52983,0.94363,0.79801,0.79271,0.83118,0.63919,0.85973,0.47768,0.9329,0.0093565,0.0093565,0.0093565
67,1920.87,0.8215,0.52634,0.94376,0.79725,0.79206,0.83152,0.63994,0.85972,0.47772,0.93286,0.0093466,0.0093466,0.0093466
68,2304.55,0.8214,0.52403,0.94325,0.79624,0.79222,0.83108,0.63953,0.85976,0.4779,0.93276,0.0093367,0.0093367,0.0093367
69,2688.81,0.82238,0.52516,0.94606,0.79524,0.79236,0.83093,0.63939,0.85977,0.47785,0.93281,0.0093268,0.0093268,0.0093268
70,3073.06,0.82128,0.52395,0.94346,0.79659,0.79183,0.83105,0.63962,0.8599,0.47798,0.93285,0.0093169,0.0093169,0.0093169
71,3457.11,0.8191,0.52266,0.94263,0.79511,0.79261,0.83103,0.63973,0.86009,0.47818,0.93291,0.009307,0.009307,0.009307
